split,song,source_song,source_kind,source_file,bar_number,image_path,label_path,source_label_path
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,1,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar001.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar001.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar001.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,2,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar002.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar002.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar002.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,3,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar003.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar003.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar003.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,4,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar004.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar004.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar004.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,5,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar005.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar005.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar005.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,6,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar006.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar006.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar006.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,7,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar007.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar007.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar007.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,8,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar008.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar008.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar008.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,9,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar009.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar009.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar009.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,10,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar010.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar010.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar010.json
