split,song,source_song,source_kind,source_file,bar_number,image_path,label_path,source_label_path,reasons
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,22,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar022.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar022.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar022.json,duplicate_onset;unsupported_duration
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,23,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar023.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar023.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar023.json,duplicate_onset;unsupported_duration
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,26,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar026.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar026.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar026.json,duplicate_onset;unsupported_duration
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,27,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar027.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar027.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar027.json,duplicate_onset;unsupported_duration
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,30,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar030.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar030.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar030.json,duplicate_onset;unsupported_duration
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,45,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar045.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar045.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar045.json,duplicate_onset;unsupported_duration
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,48,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar048.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar048.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar048.json,duplicate_onset;unsupported_duration
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,49,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar049.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar049.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar049.json,duplicate_onset;unsupported_duration
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,52,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar052.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar052.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar052.json,duplicate_onset;unsupported_duration
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,53,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar053.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar053.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar053.json,duplicate_onset;unsupported_duration
