split,song,source_song,source_kind,source_file,bar_number,image_path,label_path,source_label_path,image_sha256,label_sha256
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,1,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar001.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar001.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar001.json,93b80bd1a28d330587e0e8dd7a25344058ede9e9231d57fc8c510546a7eb8ff6,e80ac31eae6fc9a9173c727f6ec9b09ff54e1670a6278aa33f852218394e6c3c
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,2,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar002.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar002.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar002.json,c6b13400a42d2ef2ad78aa89fe81063e5390428ef94bebaa7e3d588999b377d1,cf773cb350e9aa72fe050a2262c7db21cd756c77ba24cec202ccc1304199f669
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,3,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar003.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar003.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar003.json,bc57c7ab639cde7b9574f6f9f0f5b1066a475256de2d94065102fbe80c72d2e9,1b5c441214e3dfbe77543033e3f758cdeb00faa4c580fd739ec4b72dcd9a13e5
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,4,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar004.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar004.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar004.json,2ceb273acde8dc3781c693ea9c41549ed816feb4804a0f6372f2bc216ef6c3bf,a9a82594fba73a449f83b969cad3129350a89802422b736cbf85b95a7f8c35c9
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,5,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar005.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar005.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar005.json,d78579defcfcf8d90591fcc0670399811600d42d09dd17e9598d4fb87ab92d42,a780d3f5490d97b9f04bd49621b84b486c033076d0941b896d3f9c0afc0ed78f
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,6,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar006.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar006.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar006.json,f32df0ad96b84fa7f2793e9d8fd6601ebd3c97d31af347a57060606770c277c7,7e2109af979f6af70346350c9938836878a3c9f77ef964e0ea5304332268d9af
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,7,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar007.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar007.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar007.json,23b7dbb90fa305617bedfd198dc61ac786409352240463a898e50400f7e7313d,aa0c0b8d22dc4cbfd929f6f61a47223f25cc4d21340616b7e0556d0b32a5be3c
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,8,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar008.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar008.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar008.json,30bf8e16d9ca760324de70a26117b414f05a3691298fc6a7fb23a27452822cde,55a653a095503e20ce82de69f75f9a8e74f23b5b272e64644f9ad5aa4e5b298d
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,9,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar009.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar009.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar009.json,e5151f86cf299caafefd0691f10ab2e88ec0a68789032d16224937a09efdddc6,15b90c1f5c584497e6ce81647e54f8e6c5edfc44ec017535d098c517133c2017
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,10,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar010.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar010.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar010.json,717b3eea631103adb0b7d9a196f086ea7b3f709bc51daafcab7f7d136e316fa5,ff337aef5c6404f343a3fbc69eda6654330121e081c5d0c6efd96500c9c9ae74
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,11,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar011.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar011.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar011.json,f42b006f1bc1744c46d55c603ba5a1e38138a49307ae1984911a217b1b906033,bf6b9583b1f009c616c8ea7013e541f966fb311a73f58b6ddf8f37975c196081
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,12,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar012.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar012.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar012.json,aefe87c55b994736c42488787c4d13d1cec0683f2788a7bad123f2d1f078d772,fac4e90dc572f86916672e160c59dd0fed6067c9ac21cf2bc60732dc1a2e3ce9
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,13,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar013.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar013.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar013.json,33c099732634660b7dff932ecb6b14a0cbac77340e3cc7bbfa7ea010996d645a,f190be7245f3aa9cdf6d0241b31af8f9121d479c58baa20e9d8f10f9a9d9e49c
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,14,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar014.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar014.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar014.json,c57958f69da375c91155fb9bb5f0ea7b890dfea1aa94d91b04976ef27646da58,4eec8f6e9c9d22ae0c70861dfa1cfa34ad82a4c447ecdee83fb86e02431e303f
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,15,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar015.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar015.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar015.json,a5ba41d7f53dcb34992f95c41928efa45f0aec2ed585817f43f90f09c0293d17,13760b9d91494cd15220057926d6c3043b1e23ffe2ea88acf05a08412fbc1e20
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,16,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar016.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar016.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar016.json,881fbb561540aa0964020f58d1f8d820b3a21d958a8f45b7d083d1a48ea04b41,96a32e683314c106f8159d34118c59656c9297f2bc7f3bbb5947b42293dd0417
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,17,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar017.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar017.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar017.json,cf4776c86970346273b53b7973eeeb1fd3469d1b988a9d8e616cda589c7dee31,092113641ae56c33c67b33f7f2ff94f9e6fd5dfe70976ae38b6cf09a1e90b792
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,18,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar018.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar018.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar018.json,c546f370bf75f44bfffa08455667e8b06fd279f0348e39a9ff3e9b591881c14d,da9874e460399fa83dc0a779a27e19183626b2f14610e5da8f8b38d97f6600a6
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,19,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar019.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar019.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar019.json,26a268998e7e6c925c967ff9f148d6a293416d8a35e01907acbe230cb16c1606,e4266ee13222fa422a90ba2e9b87a5416ba5155a99000ead94a3e2e8c5ceb4b6
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,20,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar020.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar020.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar020.json,2219d22cfde12236450b937b5f17807cfd89ca3c7e3e15703494b4a6b4194509,af421ef6d318b25428907c117b4e2486efb0972ea330fab03af538bed5df84d1
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,21,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar021.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar021.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar021.json,da47c81c87e31112f03259164299d7af89c03112a839a4e369021a550cd0050f,b4c3b5a9762a235b496d6a47debbc76b64d580ae5e862c3ad668fa0fce6dcf27
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,24,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar024.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar024.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar024.json,2c6827395f12ac2bceebfd42839884ecfe46a1a8d0c4ec9dcb0f4ec6d5a47f91,a586a7d7cef80620183281d18f7e253e047ddf9ae85acb8960ec62aab3ef05ba
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,25,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar025.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar025.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar025.json,56e84de279ab64a5318573f21d50eb08c1141386a013b973db1d20c4c98d7758,2695ff998fecc088643d971923eccdeb742b721ddc816da82c82455fdaa1e9a3
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,28,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar028.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar028.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar028.json,a9dc7bbde5389d7e2597f91b656c2332e382d34c22d738833740e4d6ad04aaea,1a44dc88cfbabd4ebe003e9b00a7c7c5312845f15390e52f248567038130d226
